SYMBOL,INDUSTRY,3D,5D,10D,15D,20D,50D,100D,150D
20MICRONS,Industrial Minerals,2.17,1.0,-0.17,-5.11,-16.44,-0.91,13.78,
21STCENMGM,Other Capital Market related Services,0.21,-0.19,-0.58,-5.49,-3.63,-13.85,,
360ONE,Stockbroking & Allied,1.82,5.21,2.35,2.02,-3.86,-0.51,10.51,-7.28
3IINFOLTD,Computers - Software & Consulting,3.53,1.92,-0.61,-5.02,-5.22,-14.28,-3.58,-21.46
3MINDIA,Diversified,1.55,1.25,-0.03,-0.26,-2.06,5.29,8.22,0.92
3PLAND,Investment Company,-8.08,-5.41,5.45,7.27,-0.88,-16.89,-36.51,
5PAISA,Stockbroking & Allied,1.7,0.78,-0.89,-4.01,-4.92,-10.26,-4.95,-16.47
63MOONS,Computers - Software & Consulting,-1.73,4.46,4.07,-1.5,-9.47,7.83,18.69,9.38
AAATECH,Consulting Services,-2.4,-1.54,-5.51,-5.05,-12.54,-9.17,-1.72,-19.64
AADHARHFC,Housing Finance Company,2.46,4.18,4.42,1.95,0.14,16.03,25.25,22.49
AARON,Industrial Products,0.05,4.15,-5.56,0.27,8.25,11.49,28.83,23.44
AARTECH,Heavy Electrical Equipment,-1.39,-3.52,-2.49,-8.51,-11.85,-16.32,-23.82,
AARTIDRUGS,Pharmaceuticals,-6.52,-3.49,-4.1,-9.81,-11.9,-0.34,32.21,6.5
AARTIIND,Specialty Chemicals,-0.48,-0.22,-1.09,-14.28,-10.56,-20.14,-6.49,-7.62
AARTIPHARM,Pharmaceuticals,9.79,8.52,4.94,-9.37,-9.41,-6.44,16.87,29.94
AARVI,Diversified Commercial Services,0.39,-3.99,13.47,10.16,9.1,2.19,11.18,-11.6
AAVAS,Housing Finance Company,-2.08,-2.73,-3.97,-6.94,-13.89,-11.19,-18.37,-2.55
ABAN,Offshore Support Solution Drilling,7.32,7.34,4.77,1.86,-9.64,-18.38,-28.58,
ABB,Heavy Electrical Equipment,2.06,1.07,0.87,-7.43,-9.97,-15.39,-7.06,-20.69
ABBOTINDIA,Pharmaceuticals,0.14,-0.93,0.09,-7.27,-6.05,3.16,5.03,9.68
ABCAPITAL,Investment Company,2.88,8.01,5.11,17.08,8.45,18.29,57.81,67.88
ABDL,Breweries & Distilleries,5.6,6.22,5.65,6.27,10.8,23.68,60.68,22.3
ABFRL,Speciality Retail,-1.06,1.3,-1.06,1.34,-0.11,-2.17,-70.3,-72.65
ABGSEC,Unknown,0.03,0.55,-0.37,-0.36,-0.8,-0.48,3.07,5.24
ABLBL,Speciality Retail,1.21,2.79,1.95,-3.21,-8.07,,,
ABREL,Paper & Paper Products,-1.65,2.38,-4.64,-5.17,-10.41,-26.66,-11.86,-16.56
ABSLAMC,Asset Management Company,2.81,3.06,3.52,0.53,0.74,12.96,36.5,14.66
ABSLBANETF,ETF,-0.32,0.83,0.73,-0.68,-2.29,-0.98,8.24,13.2
ABSLLIQUID,LIQUID,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0
