symbol,industry
20MICRONS,Industrial Minerals
21STCENMGM,Other Capital Market related Services
360ONE,Stockbroking & Allied
3IINFOLTD,Computers - Software & Consulting
3MINDIA,Diversified
3PLAND,Investment Company
5PAISA,Stockbroking & Allied
63MOONS,Computers - Software & Consulting
A2ZINFRA,Civil Construction
AAATECH,Consulting Services
AADHARHFC,Housing Finance Company
AAKASH,Offshore Support Solution Drilling
AARADHYA,Unknown
AAREYDRUGS,Pharmaceuticals
AARON,Industrial Products
AARTECH,Heavy Electrical Equipment
AARTIDRUGS,Pharmaceuticals
AARTIIND,Specialty Chemicals
AARTIPHARM,Pharmaceuticals
AARTISURF,Specialty Chemicals
AARVI,Diversified Commercial Services
AAVAS,Housing Finance Company
ABAN,Offshore Support Solution Drilling
ABB,Heavy Electrical Equipment
ABBOTINDIA,Pharmaceuticals
ABCAPITAL,Investment Company
ABCOTS,Unknown
ABDL,Breweries & Distilleries
ABFRL,Speciality Retail
ABGSEC,ETF
ABHAPOWER,Unknown
ABINFRA,Civil Construction
ABLBL,Speciality Retail
ABMINTLLTD,Trading & Distributors
ABREL,Paper & Paper Products
ABSLAMC,Asset Management Company
ABSLBANETF,ETF
ABSLLIQUID,LIQUID
ABSLNN50ET,ETF
ABSLPSE,ETF
ABSMARINE,Unknown
ACC,Cement & Cement Products
ACCELYA,Computers - Software & Consulting
ACCENTMIC,Unknown
ACCPL,Unknown
ACCURACY,Logistics Solution Provider
ACE,Construction Vehicles
ACEINTEG,Diversified Commercial Services
ACI,Specialty Chemicals
ACL,Cement & Cement Products
ACMESOLAR,Power Generation
ACTIVEINFR,Unknown
ACUTAAS,Pharmaceuticals
ADANIENSOL,Power Distribution
ADANIENT,Trading - Minerals
ADANIGREEN,Power Generation
ADANIPORTS,Port & Port services
ADANIPOWER,Integrated Power Utilities
ADFFOODS,Packaged Foods
ADL,Plywood Boards/ Laminates
ADOR,Other Industrial Products
ADROITINFO,IT Enabled Services
ADSL,IT Enabled Services
ADVANCE,Unknown
ADVANIHOTR,Hotels & Resorts
ADVENTHTL,Unknown
ADVENZYMES,Biotechnology
AEGISLOG,Trading - Gas
AEGISVOPAK,Oil Storage & Transportation
AEQUS,Unknown
AEROENTER,Iron & Steel Products
AEROFLEX,Iron & Steel Products
AERON,Unknown
AERONEU,Unknown
AESTHETIK,Unknown
AETHER,Specialty Chemicals
AFCONS,Civil Construction
AFFLE,IT Enabled Services
AFFORDABLE,Industrial Products
AFIL,Non Banking Financial Company (NBFC)
AFSL,Holding Company
AGARIND,Petrochemicals
AGARWALEYE,Hospital
AGARWALFT,Unknown
AGARWALTUF,Unknown
AGI,Packaging
AGIIL,"Residential, Commercial Projects"
AGNI,Unknown
AGRITECH,Other Agricultural Products
AGROPHOS,Fertilizers
AGUL,Unknown
AHCL,Unknown
AHLADA,"Furniture, Home Furnishing"
AHLEAST,Hotels & Resorts
AHLUCONT,Civil Construction
AIAENG,Castings & Forgings
AIIL,Non Banking Financial Company (NBFC)
AIMTRON,Unknown
AIRAN,IT Enabled Services
AIROLAM,Plywood Boards/ Laminates
AJANTPHARM,Pharmaceuticals
AJAXENGG,Construction Vehicles
AJMERA,"Residential, Commercial Projects"
AJOONI,Animal Feed
AKANKSHA,Unknown
AKASH,Civil Construction
AKG,Trading & Distributors
AKI,Leather And Leather Products
AKIKO,Unknown
